Rep_333_1_IN,Rep_333_1_IP
20.2433,30.7679
10.7465,12.7256
125.65,286.122
16.9818,41.325
0.601977,0.507329
1.17572,0.721609
0.0644176,0
0.105363,0
0.905156,0
39.9497,79.953
36.6991,75.687
3.08394,1.98208
6.77957,1.92641
10.5164,16.0431
455.125,485.745
1.05755,1.69654
12.9026,5.46306
3.62397,3.2532
127.135,303.607
0,0
97.205,133.486
0.182497,0.176497
0.0843104,0
54.6894,107.181
19.3653,34.1854
5.04053,3.11746
65.889,84.4348
0.451614,0.603627
4.56961,22.202
2.22986,1.89508
76.2864,119.46
7.16022,4.38926
74.3758,284.115
1.06822,0.847678
13.4015,16.6212
21.7704,27.9808
2.05696,2.55104
153.957,21.5414
0.46987,0.705839
115.186,393.625
1.60499,0
1.48694,3.36476
139.608,448.732
0,0
3.90414,4.42313
7.50317,14.9856
30.6524,60.0634
17.1201,37.8554
17.3071,28.0937
0.0396921,0
0.0219056,0
44.173,99.0557
0.0916205,0
15.6727,10.1458
125.308,327.76
216.614,472.639
105.219,187.88
0.348262,0
5.32775,6.05216
0,0
3.55373,1.35149
9.72209,4.40949
2.22461,3.50177
11.0511,4.22231
5.70936,9.56933
0.645805,3.29917
18.8687,28.2141
1.23452,3.13423
6.07114,4.86979
1.65335,0.594575
1.02343,0.569681
0.0679291,1.01347
1.80085,0.202333
2.91573,8.63764
4.07712,5.00408
4.09223,2.82309
25.0949,40.8967
51.6834,118.436
9.89851,25.2685
24.6525,38.3936
0.459527,4.93622
26.2345,34.2703
0.0426859,0
55.2946,82.2057
2.13691,1.10104
1.06742,0.342491
12.3165,17.4307
302.205,653.6
60.7976,145.15
0,0
517.755,1728.95
41.0357,64.2368
207.557,508.831
18.8627,26.9506
6.45778,7.91067
0.190748,0
2.4028,1.7835
15.2682,20.6247
0.0561476,0.0532024
9.34708,9.78111
0,0
0,0
17.2497,10.5652
7.39693,8.34409
0,0
0.803588,0.507578
2.69069,0.414045
0.0851686,0.0538027
0.754689,3.53283
3.13237,6.90938
2.97058,1.93745
0,0
0,0
176.898,420.418
11.6243,10.7161
0.826032,0.00864008
37.4979,98.9288
37.3651,64.2273
163.749,400.52
35.8538,4.38611
81.196,175.612
2.58776,0.974029
0.439188,0.214924
0,0
