gene_k,Rep_333_1_IN,Rep_333_1_IP,Rep_333_1_FC,Rep_333_2_IN,Rep_333_2_IP,Rep_333_2_FC,Rep_333_3_IN,Rep_333_3_IP,Rep_333_3_FC,Rep_444_1_IN,Rep_444_1_IP,Rep_444_1_FC,Rep_444_2_IN,Rep_444_2_IP,Rep_444_2_FC,Rep_444_3_IN,Rep_444_3_IP,Rep_444_3_FC
Cdh4,3.28845,9.77161,1.57119,4.02572,6.73266,0.74193,4.07519,6.96952,0.774193,6.43115,8.54874,0.410635,5.82205,9.71398,0.738534,5.99512,8.63458,0.526336
Ckmt1,165.104,266.905,0.692954,167.074,266.568,0.674017,181.777,197.316,0.118339,224.001,245.224,0.130595,190.084,253.451,0.415067,238.919,274.459,0.20007
Bcl6b,0.635105,0,-1.79769e+308,0.425785,0,-1.79769e+308,0.534811,0,-1.79769e+308,0.377584,0,-1.79769e+308,0.386037,0,-1.79769e+308,0.379184,0,-1.79769e+308
Clec10a,1.543,0,-1.79769e+308,1.49894,0.0346222,-5.4361,1.99286,0.342124,-2.54225,2.1231,0.680138,-1.64227,1.41882,0.819962,-0.791067,1.07769,0.32955,-1.70937
Alox12,0.188015,0.0123308,-3.93051,0.0859879,0.0513361,-0.74416,0.312426,0,-1.79769e+308,0.0915117,0,-1.79769e+308,0.151512,0.535949,1.82266,0.0974287,0.0510723,-0.931806
Arvcf,1.59916,3.51392,1.13577,2.51162,4.29237,0.773159,1.54538,4.57131,1.56465,2.13708,5.04324,1.23871,2.32329,7.75841,1.73959,1.93517,2.57824,0.413924
Comt,61.7501,107.702,0.802527,65.9711,122.346,0.891056,62.8243,100.021,0.670912,82.8061,123.91,0.581477,83.0107,140.407,0.758247,98.973,130.546,0.399452
Rtcd1,32.5559,70.8371,1.12159,36.696,93.5622,1.3503,28.9544,95.8671,1.72725,24.5052,92.1092,1.91026,38.9971,88.7497,1.18638,32.9803,71.8658,1.1237
Dbt,6.78481,8.46308,0.318875,5.72,5.74698,0.00679029,5.86343,6.35578,0.116326,5.59934,8.40638,0.586227,6.05116,7.85118,0.375698,5.70457,8.61619,0.594932
Dazap2,241.434,176.763,-0.449816,233.564,169.544,-0.462158,287.904,144.315,-0.99636,272.401,173.18,-0.653455,278.254,153.437,-0.858758,287.248,161.844,-0.827696
Mcts1,106.178,211.324,0.992975,98.0634,199.766,1.02653,87.5405,210.29,1.26436,111.252,202.989,0.867574,94.9813,183.106,0.946967,100.533,184.093,0.872764
Rem1,0.180265,0.251518,0.480548,0.165638,0.0698089,-1.24655,0.201713,0.416376,1.04558,0.17604,0.218094,0.309049,0.365313,0,-1.79769e+308,0.38616,0,-1.79769e+308
Rnf17,0.342231,0.00696453,-5.6188,0.472521,0.288103,-0.713794,0.2758,0.019986,-3.78656,0.026758,0.0663005,1.30905,0.287836,0.407069,0.500029,0.0854346,0.803221,3.23291
Trappc10,2.10191,5.67979,1.43413,1.94795,4.1137,1.07848,1.99916,2.69913,0.433102,3.86867,4.50965,0.221176,4.06159,4.20201,0.0490378,2.69602,4.54234,0.752603
Ccm2,11.8042,11.3429,-0.0575189,19.0538,16.4111,-0.21541,12.8147,12.6544,-0.0181644,16.3078,13.3623,-0.287392,23.2004,17.1253,-0.438017,24.5299,13.6149,-0.849358
Wap,0.0556023,0,-1.79769e+308,0,0,0,0.0459477,0,-1.79769e+308,0.0434436,0,-1.79769e+308,0,0,0,0.0693806,0,-1.79769e+308
Tbrg4,10.6831,21.4959,1.00873,19.6629,28.6872,0.544934,14.1049,24.4,0.79069,14.2521,23.7034,0.733924,19.8185,24.2616,0.291827,17.7768,20.5382,0.208315
Tmprss2,0,0,0,0,0,0,0.045793,0,-1.79769e+308,0,0,0,0.071691,0,-1.79769e+308,0,0,0
Mx1,1.17562,0.975956,-0.268529,1.85411,1.11084,-0.739081,2.14097,1.83346,-0.223695,0.937282,0.452699,-1.04993,3.78325,0.236363,-4.00055,3.2417,0.777368,-2.06008
Fap,0.0526937,0,-1.79769e+308,0.0358667,0,-1.79769e+308,0.189511,0,-1.79769e+308,0,0,0,1.40042,0.250837,-2.48104,0.164365,0.359067,1.12735
Gcg,0.049879,0,-1.79769e+308,0,0.0655073,1.79769e+308,0.0514684,0,-1.79769e+308,0,0,0,0,0,0,0.0777023,0.11691,0.589372
Ndufa9,201.921,402.147,0.993937,192.95,392.017,1.02269,181.42,418.985,1.20757,227.174,400.487,0.817957,198.168,435.111,1.13466,238.09,424.987,0.835912
Egfl6,1.73911,0.400254,-2.11936,1.50744,0.988323,-0.609043,1.51658,1.42808,-0.0867444,0.887698,0.54988,-0.690951,1.78067,1.99963,0.16731,2.37189,0.738356,-1.68365
Lck,13.2856,2.51294,-2.40242,10.8031,7.07978,-0.609666,17.3176,6.69425,-1.37125,12.609,8.87904,-0.505978,18.9807,10.1966,-0.896448,16.6837,14.9335,-0.159888
Tssk3,0.0612676,0,-1.79769e+308,0.170797,0,-1.79769e+308,0.0421911,0.327713,2.95742,0.159547,0,-1.79769e+308,0.132081,0.0934428,-0.499266,0.191101,0.0958428,-0.99559
Cttnbp2,13.4533,5.31445,-1.33997,11.4139,4.46744,-1.35327,11.6974,5.61415,-1.05905,12.7236,6.28508,-1.0175,10.6014,5.54133,-0.93595,14.5104,5.70083,-1.34785
Galnt1,8.71138,8.81012,0.0162603,9.34051,10.5276,0.17261,10.2083,10.0542,-0.0219475,8.87763,11.6805,0.395857,7.12061,8.27388,0.216565,8.32966,8.32043,-0.00159902
